Event,Date/Time,Latitude,Longitude,Station,Depth water [m],Temp [°C],Sal,DO,[PO4]3-,[NO2]-,[NO3]-,Chl
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,10,21.91,36.27,5.47,0.01,0.03,0.04,0.14
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,20,212.7,38.11,5.49,0.011,0.0,0.05,0.15
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,30,17.75,37.88,5.59,0.003,0.01,0.07,0.13
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,50,17.64,38.93,5.66,0.007,0.0,0.06,0.15
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,75,164.5,39.0,5.54,0.004,0.0,0.03,0.2
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,3,23.84,33.01,5.11,0.061,0.02,0.02,0.07
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,10,23.85,33.2,5.1,0.031,0.02,0.09,0.09
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,20,23.06,37.27,5.11,0.02,0.0,0.14,0.06
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,30,21.3,38.72,5.33,0.032,0.0,0.01,0.04
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,50,17.04,38.99,5.56,0.024,0.0,0.12,0.06
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,75,16.25,39.03,5.39,0.037,0.02,0.06,0.09
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,3,23.85,33.95,5.18,0.04,0.01,0.09,0.07
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,10,23.75,34.08,5.22,0.046,0.0,0.06,0.06
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,20,21.24,38.86,5.28,0.01,0.02,0.02,0.05
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,30,19.65,38.97,5.51,0.021,0.01,0.01,0.06
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,50,17.35,39.07,5.57,0.008,0.02,0.06,0.09
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,75,16.44,39.03,5.45,0.011,0.0,0.04,0.1
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,50,17.54,38.76,5.46,,,,0.22
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,20,23.06,37.27,5.11,0.02,0.0,0.14,0.06
Aegaeo_2013-10_AMT-7,2013-10-11,39.6458,25.592,AMT-7,3,19.88,36.49,5.13,0.014,0.01,0.17,0.09
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,3,19.7,34.15,4.53,0.015,0.01,0.42,0.12
Aegaeo_2014-03_AMT-2,2014-03-22,39.25,25.445,AMT-2,50,14.45,384.0,5.53,0.13,0.08,0.14,0.48
Aegaeo_2014-07_AMT-2,2014-07-17,39.253,25.445,AMT-2,20,22.59,38.03,5.42,0.015,0.0,0.04,0.08
Aegaeo_2013-10_AMT-3,2013-10-10,39.108,25.435,AMT-3,50,17.37,38.64,5.65,0.01,0.01,0.11,0.22
